household_id,no_of_household_members,any_constructions_or_renovations_in_the_household
ID0009,2,No
ID0009,2,No
ID0009,2,No
ID0009,2,No
ID0009,2,No
ID0009,2,No
ID0009,2,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0010,7,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0011,5,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0012,7,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0013,1,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0014,4,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0015,3,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0016,5,No
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0017,4,Yes
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0018,7,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0019,5,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0020,3,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0021,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0022,4,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0023,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0024,2,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0025,3,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
ID0026,5,No
